Interview number (ongoing),Tax Scenario: How likely are you to trust AI in conducting the review correctly? (1 = very unlikely; 5 = very likely),Tax Scenario: How does the breakdown of process steps affect your trust in the AI-driven decision? (1 = decreases trust significantly; 5 = increases trust significantly),Tax Scenario: How does the option to contact a tax officer affect your trust in the AI-driven decision? (1 = decreases trust significantly; 5 = increases trust significantly),Tax Scenario: How likely are you to comply with the request? (1 = very unlikely; 5 = very likely),Benefits Scenario: How likely are you to trust AI in conducting the review correctly? (1 = very unlikely; 5 = very likely),Benefits Scenario: How do the details about which data was used in the decision process affect your trust in the AI-driven decision? (1 = decreases trust significantly; 5 = increases trust significantly),Benefits Scenario: How does the specific information about where you do not meet the criteria affect your trust in hte AI-driven decision? (1 = decreases trust significantly; 5 = increases trust significantly),Benefits Scenario: How does the option to appeal the decision affect your trust in the AI-driven decision? (1 = decreases trust significantly; 5 = increases trust significantly), Familiarity with AI applications in public services,Experience with AI: Residual option (negative) or number of selected options,Experience with AI: No interaction with AI so far,"Experience with AI: I have interacted with AI services (e.g., chatbots, virtual assistants, or online services)",Experience with AI: I regularly use AI in private or professional setting,Experience with AI: I have previously received an AI-based decision from public services,Benefits - AI public services: Faster processing,Benefits - AI public services: Greater accuracy,Benefits - AI public services: Reducing costs,Benefits - AI public services: Fairer decisions,Benefits - AI public services: Increased efficiency,Concerns - AI public services: Transparency,Concerns - AI public services: Data privacy,Concerns - AI public services: Errors in decision-making,Concerns - AI public services: Bias,Concerns - AI public services: Lack of human oversight,overall assessment of AI in public services,AI public services comfort level,Trust AI public services scale: Tax administration,Trust AI public services scale: Social benefit distribution (Familienbeihilfe),Trust AI public services scale: AMS services (job searching),Trust AI public services scale: Public Security (Police),Trust AI public services scale: Health Care,Trust AI public services scale: School System,Influence Trust Factors: Human oversight on each AI decision,Influence Trust Factors: Data Transparency - information about the personal data used for the decision,Influence Trust Factors: Process Transparency - information about the steps and involved people in the decision-making process,Influence Trust Factors: Outcome transparency - decision factors are explained for justification,Influence Trust Factors: Regular audits of the AI system,Influence Trust Factors: The ability to appeal AI decisions,Influence Trust Factors: Public reporting on AI decision-making outcomes,Age,Gender,Education Level,Employment Status,Austria
96,2,4,4,4,2,4,4,4,4,2,1,2,2,1,5,2,5,1,5,5,5,5,5,5,2,2,3,1,1,2,4,4,5,5,5,5,5,5,5,2,2,6,1,1
97,3,3,3,2,4,3,4,4,3,1,1,2,1,1,4,3,4,3,4,4,4,4,4,3,4,4,3,3,4,4,3,4,4,3,4,3,4,4,3,2,2,6,4,1
99,3,4,4,4,4,5,5,5,3,2,1,2,2,1,5,4,5,3,5,5,2,3,4,5,4,4,5,5,3,4,4,4,5,5,5,5,5,4,5,2,2,5,4,1
104,3,4,4,4,3,4,4,5,4,2,1,2,2,1,5,5,4,4,3,4,5,4,4,5,2,3,4,3,3,2,4,4,4,4,3,5,4,5,3,1,2,5,4,1
110,3,4,3,5,2,4,4,3,2,2,1,2,2,1,4,2,3,2,4,3,4,3,4,2,4,3,3,3,4,3,2,4,5,5,4,5,4,3,3,1,2,3,2,1
113,5,5,2,4,4,5,5,2,3,2,1,2,2,1,5,5,5,4,5,1,5,3,1,2,3,3,3,3,5,1,1,3,4,5,5,5,5,4,5,1,2,5,2,1
115,2,3,2,4,2,3,3,1,1,1,1,2,1,1,5,2,5,3,3,4,3,4,3,5,2,2,4,2,1,2,1,4,4,5,4,5,5,5,4,2,2,6,4,1
116,3,4,5,4,3,4,4,5,4,1,1,2,1,1,4,5,4,5,5,4,5,4,4,3,1,3,3,3,4,2,3,4,5,5,4,5,4,5,4,1,2,5,6,1
117,3,4,2,4,3,4,4,3,1,1,1,1,2,1,4,2,4,2,4,4,1,2,2,4,4,3,3,3,3,1,1,3,5,4,4,4,2,5,2,1,2,5,1,1
121,1,1,1,1,2,2,2,2,1,1,1,2,1,1,3,3,1,3,2,4,5,4,5,4,2,1,1,1,2,1,1,1,4,3,3,2,1,2,2,2,1,2,6,1
124,4,5,3,5,5,4,4,3,1,2,1,2,2,1,5,5,5,5,5,5,5,4,4,4,5,5,4,5,3,5,4,4,5,5,3,4,5,4,4,1,1,5,2,1
127,4,5,3,4,3,3,4,4,1,1,1,1,2,1,5,5,4,2,5,5,4,5,5,5,4,4,4,2,3,3,4,4,5,4,4,3,4,5,3,1,1,5,4,1
131,4,4,3,4,4,4,3,4,5,1,1,1,2,1,4,3,4,3,4,2,4,3,3,4,4,2,2,2,3,4,3,3,3,4,4,3,4,3,3,2,1,5,2,1
140,4,4,5,4,4,5,5,5,2,3,1,2,2,2,5,4,4,5,5,4,4,5,3,5,5,4,3,4,4,5,5,5,5,5,5,5,5,4,4,1,1,5,2,1
142,4,5,1,5,5,5,3,3,1,2,1,2,2,1,5,5,5,3,4,4,4,5,5,3,4,2,2,2,2,2,1,1,5,5,5,5,4,5,2,2,1,3,2,1
143,4,5,1,5,4,5,1,4,3,1,1,1,2,1,5,2,5,3,5,3,1,4,1,4,5,5,4,1,4,1,4,4,5,5,5,5,5,5,5,2,1,6,1,1
149,2,4,3,3,3,3,3,4,2,1,1,2,1,1,5,3,5,4,4,1,1,1,2,3,3,3,4,4,5,3,2,1,2,2,3,3,3,3,2,4,2,3,2,1
150,2,2,4,4,1,1,2,3,2,1,1,2,1,1,4,4,3,4,5,2,5,5,5,4,2,2,2,1,3,1,3,3,4,4,4,3,4,2,4,3,2,7,1,1
153,4,3,3,4,1,2,4,3,3,1,1,2,1,1,4,4,5,4,4,4,5,3,3,4,3,3,5,5,5,2,2,2,3,3,5,5,5,3,5,4,1,4,1,1
154,3,4,4,3,3,5,3,3,4,2,1,2,2,1,5,2,4,2,4,5,5,5,2,4,4,3,4,3,2,4,4,2,4,4,4,4,3,5,4,1,2,5,2,1
157,4,2,2,4,4,3,3,3,2,2,1,2,2,1,5,4,5,4,5,3,4,3,4,4,3,3,5,4,4,3,3,3,4,5,5,5,5,4,3,2,2,6,1,1
162,5,4,3,5,4,5,5,5,2,2,1,2,2,1,5,4,4,4,4,3,3,4,3,3,5,3,4,4,4,2,4,4,5,4,4,4,4,4,2,1,1,5,4,1
163,3,3,5,4,3,5,5,5,3,3,1,2,2,2,5,2,3,4,3,1,4,5,5,5,2,3,3,4,3,1,2,3,5,5,5,5,5,5,4,1,2,5,4,1
167,4,5,5,5,3,5,4,5,3,2,1,2,2,1,5,5,5,4,5,2,4,4,4,4,4,4,4,3,2,2,2,4,5,5,5,5,5,5,5,1,2,5,4,1
169,4,4,4,3,2,4,4,4,1,1,1,1,2,1,4,3,4,3,4,2,2,4,4,3,4,4,4,3,3,2,4,3,3,4,4,4,4,4,4,1,2,5,2,1
172,2,2,3,2,3,2,2,2,2,3,1,2,2,2,5,4,5,3,2,2,5,5,5,5,1,1,3,1,3,1,4,3,3,3,3,2,3,3,3,3,1,6,4,1
180,3,3,4,3,4,4,3,3,4,2,1,2,2,1,4,4,3,4,4,2,3,3,4,3,4,3,3,3,4,3,4,3,4,3,4,3,4,4,4,1,2,5,4,1
181,4,4,4,4,1,1,1,1,2,1,2,1,1,1,4,4,2,2,5,4,5,5,5,5,3,1,3,1,3,1,4,4,5,5,1,4,5,5,5,4,2,5,1,1
184,4,5,5,5,1,1,1,1,5,3,1,2,2,2,4,4,5,4,4,3,5,5,5,5,1,1,4,1,3,1,4,3,5,5,2,3,4,4,4,3,1,6,1,1
186,4,4,4,3,3,2,2,3,3,1,1,2,1,1,3,3,2,3,3,2,2,3,2,3,3,3,4,3,3,3,3,3,3,5,3,5,5,5,5,2,1,6,1,1
187,4,3,4,3,1,2,1,2,3,1,2,1,1,1,3,3,2,4,2,3,5,4,5,4,4,2,3,2,2,2,3,2,4,2,2,3,2,2,3,4,1,3,4,1
188,3,2,2,5,3,3,4,4,2,1,1,2,1,1,4,2,3,3,4,3,2,3,4,4,3,4,3,3,4,3,3,2,5,5,5,5,4,4,5,2,2,5,4,1
201,5,4,3,4,5,5,4,4,3,1,1,2,1,1,4,4,5,4,5,3,4,2,4,4,1,4,4,4,4,3,3,4,3,4,4,4,4,4,4,2,2,5,4,1
219,5,3,2,5,5,3,4,2,4,1,1,1,2,1,4,3,5,4,4,2,2,4,2,3,4,3,4,3,4,3,4,4,3,4,4,4,4,3,4,5,1,6,1,1
235,4,2,2,1,2,2,4,1,1,1,2,1,1,1,3,4,4,1,5,5,4,3,3,4,1,4,3,1,4,3,5,5,5,3,3,2,5,5,5,1,2,3,2,1
240,3,4,4,4,4,4,4,4,4,2,1,2,2,1,4,3,4,4,3,2,5,3,2,4,4,3,3,4,4,3,2,4,4,5,5,5,5,5,5,2,2,5,2,1
241,4,4,3,5,4,4,4,5,5,3,1,2,2,2,4,2,3,1,4,4,5,4,5,4,2,2,4,3,3,2,2,1,4,5,4,4,3,5,4,2,2,2,4,1
250,1,1,1,1,5,5,5,5,5,1,1,1,1,2,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,4,2,1,5,4,1
252,3,3,2,2,2,3,2,3,1,1,1,2,1,1,5,5,5,5,5,5,5,4,3,3,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,2,2,5,2,1
256,3,3,2,2,3,3,2,3,1,1,1,2,1,1,5,4,5,5,5,4,4,3,3,4,4,4,2,3,4,2,2,4,5,3,3,3,4,5,4,3,1,5,2,1
264,4,3,2,4,4,2,4,2,1,1,1,2,1,1,4,3,4,2,4,3,5,4,4,5,2,3,4,4,3,2,2,2,2,3,4,3,2,2,2,3,2,6,1,1
267,3,4,4,4,1,2,2,2,4,2,1,1,2,2,4,4,4,5,5,4,5,5,5,5,4,2,4,1,4,1,4,3,4,5,3,3,4,5,4,5,2,6,1,1
268,2,4,4,4,2,3,4,3,4,2,1,2,1,2,4,3,3,5,5,4,5,5,5,4,4,3,4,1,4,1,4,2,5,4,3,3,4,4,4,6,1,2,5,1
269,3,3,3,4,1,1,2,2,3,1,2,1,1,1,4,4,3,4,4,3,3,4,4,3,2,2,4,1,4,1,3,4,4,3,4,4,3,4,4,4,1,5,1,1
272,3,2,1,3,3,4,4,4,2,2,1,2,2,1,3,1,5,3,1,1,1,3,3,3,2,2,1,1,2,1,2,3,4,2,3,3,3,3,5,1,2,5,2,1
274,4,5,4,5,4,5,5,5,1,1,1,2,1,1,4,4,3,3,3,5,5,3,2,3,4,3,4,4,4,3,3,2,5,4,5,5,3,5,2,1,2,2,4,1
275,3,2,3,3,1,1,1,1,3,1,1,2,1,1,3,4,4,5,5,4,5,5,5,5,1,2,3,1,3,1,4,4,4,4,2,2,4,5,4,4,2,4,2,1
276,2,3,3,3,1,2,2,3,2,1,2,1,1,1,3,4,2,5,5,4,5,5,4,4,1,3,4,1,3,1,4,3,4,3,4,5,5,4,4,5,2,5,1,1
277,3,4,3,2,1,3,2,3,4,3,1,2,2,2,3,4,3,4,4,4,5,4,5,5,2,2,3,1,3,1,4,4,5,2,2,5,4,5,4,4,1,6,1,1
278,2,3,4,5,3,4,4,5,1,1,2,1,1,1,3,4,3,4,5,4,5,5,4,5,5,2,4,3,3,2,4,4,4,5,3,3,4,3,3,6,2,2,5,1
284,2,2,3,2,2,1,2,2,1,1,2,1,1,1,4,3,2,3,2,3,2,2,2,3,3,2,2,2,3,2,1,2,3,2,2,2,2,3,2,3,1,6,1,1
286,3,3,4,3,2,3,2,2,3,1,1,2,1,1,3,2,3,3,3,3,3,3,3,3,4,3,3,4,3,2,2,2,3,3,4,2,2,2,2,4,2,6,1,1
289,2,4,5,2,2,4,4,5,4,2,1,2,2,1,4,5,3,2,2,5,5,5,5,4,3,3,1,3,5,3,4,4,5,4,4,4,5,5,4,1,1,5,2,1
296,3,5,3,5,4,5,5,3,2,2,1,2,2,1,5,3,5,3,5,4,5,5,1,2,4,4,1,5,5,4,1,5,4,5,5,5,1,3,1,2,1,5,1,1
304,3,3,4,3,4,4,5,3,3,1,1,2,1,1,5,4,5,4,3,3,5,3,3,4,4,2,3,3,3,2,3,4,4,5,4,4,5,5,3,4,2,3,2,1
307,1,2,3,3,1,2,1,2,1,1,2,1,1,1,3,4,4,2,2,4,5,4,5,5,1,1,2,1,2,1,2,2,4,3,3,3,4,4,4,5,1,5,1,1
308,3,2,3,4,2,2,2,4,4,2,1,2,2,1,4,5,4,5,5,4,5,5,5,5,2,2,3,1,2,1,3,3,4,5,4,4,3,5,4,2,2,5,4,1
309,3,3,3,4,2,3,2,3,3,1,1,2,1,1,5,5,4,5,5,5,5,5,5,5,3,3,3,2,2,1,3,3,4,3,4,5,5,4,5,3,2,2,1,1
310,1,3,3,2,1,2,2,2,4,2,1,1,2,2,4,5,4,5,5,3,4,4,4,5,2,2,3,2,3,1,3,3,5,3,5,5,3,3,3,1,2,2,2,1
311,3,3,4,4,2,1,1,3,4,3,1,2,2,2,3,3,3,4,4,5,5,5,5,5,2,2,3,1,3,1,3,3,5,1,1,2,3,5,4,3,1,5,6,1
312,2,2,3,4,1,3,3,4,2,2,1,2,2,1,4,1,2,3,4,4,5,5,5,5,1,3,3,2,3,1,3,4,4,1,1,2,2,5,4,2,2,2,2,1
313,1,2,3,4,1,2,3,3,3,1,1,1,2,1,4,3,3,4,4,3,2,5,3,5,1,3,3,1,4,1,5,5,2,3,3,4,3,4,2,6,1,6,5,1
315,2,3,4,5,3,4,2,2,3,1,1,2,1,1,4,2,4,5,4,4,4,5,5,5,2,2,3,1,3,1,4,4,4,4,5,5,5,5,5,3,2,6,4,1
316,4,5,5,5,4,5,5,5,3,2,1,2,2,1,5,4,4,5,4,5,4,4,4,4,4,3,4,3,4,4,4,5,4,5,5,5,5,5,5,2,2,7,1,1
317,4,5,5,5,4,5,4,5,5,3,1,2,2,2,5,5,5,4,3,5,4,3,3,2,5,5,4,4,3,3,5,5,5,5,5,5,5,5,5,3,1,6,1,1
318,3,4,5,4,3,4,4,5,2,1,1,2,1,1,3,4,3,3,4,4,5,5,4,5,2,2,3,3,4,2,4,4,5,3,4,4,3,5,3,6,2,3,5,1
319,2,4,4,4,2,4,4,4,1,1,2,1,1,1,4,3,4,4,5,5,4,3,4,4,3,3,4,2,3,2,4,2,3,4,4,4,5,5,5,1,1,2,4,1
320,3,4,4,4,3,4,4,5,2,1,1,2,1,1,4,4,5,4,4,5,4,4,5,3,2,2,4,4,2,2,4,3,4,3,3,4,5,5,5,3,2,5,1,1
335,2,3,3,2,2,3,3,4,2,1,2,1,1,1,4,5,5,5,4,4,3,4,5,5,3,3,3,4,2,1,4,5,4,3,4,5,4,5,3,3,2,2,1,1
336,4,4,5,5,4,4,4,5,3,1,1,2,1,1,5,5,4,5,4,3,3,4,4,5,4,4,4,3,4,2,4,4,5,3,4,4,5,4,3,1,2,5,6,1
337,4,4,5,5,3,4,4,4,3,1,1,2,1,1,4,5,4,4,4,4,5,5,4,5,4,4,4,4,4,3,5,3,5,5,5,4,5,5,5,3,2,6,6,1
338,3,4,5,4,4,4,3,4,2,1,2,1,1,1,5,3,3,4,4,5,4,4,5,5,3,2,3,3,2,2,4,3,5,5,4,4,5,5,5,4,2,5,1,1
339,2,3,4,4,2,3,2,5,1,1,2,1,1,1,3,3,3,4,3,4,5,5,5,5,2,2,2,2,2,1,4,2,5,4,3,4,5,5,4,2,1,2,2,1
340,4,5,5,5,4,5,5,5,5,2,1,2,2,1,5,5,4,4,5,4,3,3,3,4,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,3,2,4,1,1
341,4,5,4,5,3,4,3,5,4,1,1,1,2,1,5,5,4,4,5,5,4,4,4,4,4,4,4,3,3,2,5,3,4,4,3,4,4,4,3,2,1,5,6,1
342,4,5,4,5,3,4,5,5,3,1,1,2,1,1,5,4,3,4,5,5,5,4,4,5,4,4,4,3,4,2,5,3,5,4,5,4,5,4,5,2,2,5,3,1
343,2,3,4,3,1,2,3,4,3,1,1,2,1,1,4,4,3,3,3,4,4,5,5,5,1,2,4,2,3,1,5,4,4,3,4,4,5,4,3,3,2,4,1,1
344,1,2,3,4,1,1,2,3,2,1,1,2,1,1,3,2,3,2,4,5,1,5,4,5,1,1,1,1,1,1,1,1,5,1,5,1,3,5,5,3,1,6,1,1
345,3,4,4,4,2,3,4,3,3,1,1,2,1,1,4,3,2,4,4,4,5,5,5,4,2,3,3,1,4,1,4,3,4,3,3,4,4,3,3,2,2,3,4,1
346,2,4,3,4,3,4,3,4,3,1,1,2,1,1,4,4,3,3,2,5,5,5,4,5,2,3,3,2,4,1,3,4,4,1,5,2,3,4,5,4,2,4,2,1
347,3,4,4,5,3,2,3,4,3,1,1,2,1,1,4,5,2,3,4,4,5,5,3,3,2,2,4,3,3,1,5,3,4,1,3,3,4,4,4,2,2,5,1,1
348,2,3,4,3,2,3,4,3,2,1,1,2,1,1,3,4,3,4,4,4,3,4,5,4,2,4,4,3,4,1,4,3,3,4,3,3,4,3,4,2,1,3,4,1
351,2,3,4,3,1,2,4,4,3,1,1,2,1,1,4,5,3,5,3,3,5,4,5,4,2,3,3,2,4,1,3,4,4,3,4,4,3,4,3,3,2,5,2,1
352,3,4,5,4,1,4,4,3,2,1,2,1,1,1,4,5,4,3,3,4,5,5,4,5,3,3,3,4,2,3,4,4,3,4,5,3,4,4,3,3,1,6,1,1
353,5,3,5,4,5,3,4,5,4,1,1,1,2,1,2,3,4,2,4,2,4,3,3,2,5,5,5,5,5,5,5,5,1,1,1,1,3,2,1,1,1,5,4,1
357,5,5,3,4,4,5,4,4,1,1,2,1,1,1,4,3,3,2,3,3,5,5,2,2,4,5,4,5,2,5,2,3,4,5,4,3,5,3,4,2,2,5,1,1
358,3,4,2,5,5,4,2,3,2,2,1,2,2,1,4,3,4,2,4,4,5,3,3,2,5,4,4,5,2,4,3,3,5,5,5,4,5,3,4,2,1,6,1,1
361,2,3,5,2,2,3,3,2,1,1,2,1,1,1,3,2,3,2,2,5,5,5,5,5,2,2,2,3,1,3,2,2,5,4,5,2,5,3,3,3,2,2,1,1
364,4,4,4,4,4,4,4,4,4,1,1,1,2,1,4,5,3,3,4,3,3,4,4,3,4,4,3,4,3,3,2,4,4,3,3,3,3,4,4,2,1,6,4,1
368,3,3,4,3,3,4,3,3,3,1,1,1,2,1,3,4,3,3,3,3,2,2,3,3,3,3,3,4,3,3,3,4,3,3,3,4,3,2,3,2,2,5,4,1
