VAR,RESPONSE,MEANING
E002,-9,Not answered
F001,1,18–24
F001,2,25–34
F001,3,35–44
F001,4,45–54
F001,5,55–64
F001,6,65 or older
F001,-9,Not answered
F002,1,Male
F002,2,Female
F002,3,Non-binary
F002,4,Prefer not to say
F002,-9,Not answered
F003,1,Less than high school
F003,2,High school diploma or equivalent
F003,3,"Some college, no degree"
F003,4,Associate's degree
F003,5,Bachelor's degree
F003,6,Master's degree
F003,7,Doctoral degree or equivalent
F003,-9,Not answered
F004,1,Employed full-time
F004,2,Employed part-time
F004,3,Unemployed
F004,4,Student
F004,5,Retired
F004,6,Self-employed
F004,-9,Not answered
F005,1,Yes
F005,2,No
F005,-9,Not answered
FINISHED,0,Canceled
FINISHED,1,Finished
Q_VIEWER,0,Respondent
Q_VIEWER,1,Spectator
